GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
2	0	0	0	2	4	2	1	ENSMUSG00000026058
731	236	80	550	225	79	240	14	ENSMUSG00000026134
12	17	10	53	9	9	9	3	ENSMUSG00000103746
1965	795	756	6281	1626	294	657	285	ENSMUSG00000004768
648	888	1390	1783	466	306	271	414	ENSMUSG00000042215
3214	1187	1349	7560	2225	562	1141	538	ENSMUSG00000042197
115	8	28	295	86	6	43	8	ENSMUSG00000042182
12747	16747	9934	33952	8093	5827	4505	3807	ENSMUSG00000026131
0	0	0	0	1	1	0	0	ENSMUSG00000103001
1972	731	1132	5841	1756	432	742	495	ENSMUSG00000042111
3761	2791	3201	9345	3143	945	1374	995	ENSMUSG00000026127
1102	418	377	1976	744	225	372	155	ENSMUSG00000026126
10	0	2	16	5	0	7	0	ENSMUSG00000101223
0	0	2	0	4	0	0	0	ENSMUSG00000026125
0	0	0	0	0	0	0	2	ENSMUSG00000026124
2	0	0	4	4	0	0	0	ENSMUSG00000045174
0	0	0	0	3	0	0	0	ENSMUSG00000104098
339	79	51	867	187	25	117	10	ENSMUSG00000037509
17361	6356	6632	33032	11174	2562	6134	2458	ENSMUSG00000037503
13591	16894	15058	28497	9325	5868	4890	4368	ENSMUSG00000026123
4	0	0	19	2	0	8	0	ENSMUSG00000102531
3195	9769	6604	5774	2185	2918	1193	1879	ENSMUSG00000045216
8473	5921	2996	12489	4114	1698	3088	733	ENSMUSG00000037470
2033	377	488	3300	908	190	713	212	ENSMUSG00000047180
1715	144	2531	3879	1989	40	599	511	ENSMUSG00000037447
3	0	4	2	7	1	2	2	ENSMUSG00000102762
6511	6211	7012	15235	5234	2410	2349	2504	ENSMUSG00000010453
437	530	320	830	238	157	151	70	ENSMUSG00000037432
3189	4433	3144	5091	1514	1332	1142	822	ENSMUSG00000001143
916	1993	1971	2129	620	553	364	458	ENSMUSG00000037408
2195	2117	1389	4498	1872	570	734	401	ENSMUSG00000001138
22	11	42	84	34	14	9	29	ENSMUSG00000067653
424	251	243	1029	421	130	162	133	ENSMUSG00000079610
1811	434	1000	6362	1598	194	662	339	ENSMUSG00000026121
233	69	61	539	133	17	71	9	ENSMUSG00000087589
101	0	1	155	61	2	25	0	ENSMUSG00000046337
7657	17195	18348	10028	3622	4604	2716	4251	ENSMUSG00000061518
7906	8577	8224	18708	6500	3107	2837	2545	ENSMUSG00000037351
0	0	3	10	4	3	0	0	ENSMUSG00000102416
1215	73	37	2212	560	18	440	14	ENSMUSG00000026117
5809	5375	2617	6782	2208	1202	2263	560	ENSMUSG00000026116
4	0	2	5	1	0	0	0	ENSMUSG00000080054
0	0	0	0	0	0	0	0	ENSMUSG00000095944
677	4	12	2451	443	2	296	0	ENSMUSG00000050122
12	0	2	9	2	0	2	0	ENSMUSG00000026114
2325	533	317	3791	1165	244	811	123	ENSMUSG00000026113
