GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
2	0	2	10	6	0	0	0	ENSMUSG00000029307
0	0	2	18	2	0	0	0	ENSMUSG00000029306
9923	71654	90449	35647	20177	38642	3580	30895	ENSMUSG00000029304
11531	10718	7924	27021	9555	5862	4000	3046	ENSMUSG00000034462
1505	487	1278	4079	1440	478	487	797	ENSMUSG00000079065
809	327	886	3475	909	513	274	810	ENSMUSG00000097392
171	61	71	625	239	14	74	21	ENSMUSG00000072774
689	34	28	725	180	12	263	24	ENSMUSG00000029299
5443	300	504	14510	5635	117	1870	168	ENSMUSG00000079363
95	81	59	126	52	16	24	8	ENSMUSG00000105096
859	180	206	2287	693	80	292	31	ENSMUSG00000104713
25	4	10	70	27	3	15	2	ENSMUSG00000092021
7858	3864	2162	14668	3788	1679	2744	660	ENSMUSG00000070639
7144	932	1030	10832	3556	189	2474	262	ENSMUSG00000054720
3958	7842	3488	5791	1760	2368	1419	1153	ENSMUSG00000046079
21	9	9	38	8	3	6	5	ENSMUSG00000067058
7	11	7	21	2	0	0	2	ENSMUSG00000084878
2717	1190	1214	6403	1618	698	927	470	ENSMUSG00000029290
0	0	2	0	0	0	0	0	ENSMUSG00000034384
3169	1289	1128	7740	2176	741	1091	453	ENSMUSG00000049606
7	0	1	8	1	0	4	2	ENSMUSG00000043410
290	22	33	569	193	19	133	19	ENSMUSG00000029283
7743	2824	1601	11193	3357	810	2731	364	ENSMUSG00000029287
204	72	108	496	194	48	101	40	ENSMUSG00000029279
0	0	0	0	0	0	2	0	ENSMUSG00000064554
244	4	6	797	222	4	95	0	ENSMUSG00000033805
16	0	0	80	13	0	4	0	ENSMUSG00000033794
386	183	118	968	219	72	119	52	ENSMUSG00000111375
8	1	0	37	4	1	2	4	ENSMUSG00000089798
282	119	172	768	175	113	94	85	ENSMUSG00000029276
1187	996	607	2138	635	357	428	167	ENSMUSG00000033773
5	3	0	3	1	0	2	0	ENSMUSG00000085900
0	1	0	0	0	0	0	0	ENSMUSG00000105421
8	1	0	6	4	0	2	0	ENSMUSG00000106333
114	12	8	137	49	2	43	2	ENSMUSG00000029275
7	2	0	14	4	0	5	0	ENSMUSG00000090030
7030	5976	4225	12567	3683	3222	2474	1612	ENSMUSG00000011831
10	0	7	98	22	0	10	0	ENSMUSG00000063447
14341	6407	10173	37340	11584	2988	5093	2918	ENSMUSG00000058558
1803	912	481	2769	799	442	621	188	ENSMUSG00000029270
2	0	0	0	0	0	0	0	ENSMUSG00000096920
2787	657	699	6000	1785	404	1013	340	ENSMUSG00000029267
12219	1599	3759	26535	7985	1336	4235	1343	ENSMUSG00000063406
164	10	10	238	60	6	68	4	ENSMUSG00000056531
6352	3904	8245	17919	5167	1847	2215	2948	ENSMUSG00000029265
2333	3402	2427	4782	1238	1509	883	742	ENSMUSG00000029263
5	6	0	9	6	3	1	0	ENSMUSG00000029491
5014	8253	9093	6966	2454	2507	1577	2101	ENSMUSG00000050856
298	138	138	805	299	57	107	46	ENSMUSG00000029490
4725	2414	2002	9409	3104	962	1726	769	ENSMUSG00000033623
12	4	4	22	16	0	6	0	ENSMUSG00000033615
8465	8664	7116	17473	5980	2242	3256	1999	ENSMUSG00000062234
1133	1542	982	2757	920	524	434	270	ENSMUSG00000013495
438	599	817	1203	369	463	116	492	ENSMUSG00000004815
1296	808	769	2708	940	268	467	227	ENSMUSG00000033540
44	6497	6010	23	18	1788	14	1412	ENSMUSG00000046959
2149	1851	2401	3175	1413	455	801	561	ENSMUSG00000008090
0	0	0	0	0	0	0	0	ENSMUSG00000055385
0	0	0	0	0	0	0	0	ENSMUSG00000004821
0	0	2	11	2	0	2	0	ENSMUSG00000090961
1	0	0	9	1	0	0	0	ENSMUSG00000091624
5	0	0	25	14	0	0	0	ENSMUSG00000093510
0	0	0	12	5	0	0	0	ENSMUSG00000067010
0	0	0	3	0	0	0	0	ENSMUSG00000091450
1	0	0	7	3	0	0	0	ENSMUSG00000090688
3	0	0	0	0	0	0	0	ENSMUSG00000091635
0	1	0	2	0	0	0	0	ENSMUSG00000091059
1608	281	390	3049	1468	149	587	125	ENSMUSG00000033467
0	0	0	0	0	0	0	0	ENSMUSG00000094409
246	77	77	762	175	109	61	17	ENSMUSG00000072763
301	60	84	1080	237	125	119	28	ENSMUSG00000072762
5	3	0	22	11	3	6	0	ENSMUSG00000105471
31	28	36	49	6	16	8	10	ENSMUSG00000097863
545	245	327	2180	507	301	168	208	ENSMUSG00000066613
61	90	113	239	75	34	22	44	ENSMUSG00000064247
558	223	376	1295	497	146	194	185	ENSMUSG00000033434
502	166	226	1314	357	95	164	69	ENSMUSG00000023284
2533	923	658	5580	1734	479	879	385	ENSMUSG00000014668
5748	2872	2184	11447	3374	1024	2121	699	ENSMUSG00000029502
4212	2206	2142	9629	2936	832	1526	711	ENSMUSG00000029501
609	450	738	1275	538	169	224	231	ENSMUSG00000029500
785	3255	2874	1410	483	855	241	680	ENSMUSG00000029499
538	102	70	434	171	31	156	18	ENSMUSG00000007080
63	8	8	121	42	4	24	2	ENSMUSG00000029503
18	0	2	32	10	0	0	0	ENSMUSG00000072754
2133	2023	1506	3843	1318	844	837	530	ENSMUSG00000043323
29	0	2	78	7	0	22	4	ENSMUSG00000048215
86	67	4	233	62	28	32	0	ENSMUSG00000033316
1172	697	891	2527	802	234	525	287	ENSMUSG00000033294
1199	806	931	3118	1038	350	477	411	ENSMUSG00000029504
6702	3265	1718	10868	3470	919	2593	576	ENSMUSG00000029505
964	1494	1643	2131	757	565	344	623	ENSMUSG00000029507
3407	3803	3799	7079	2897	1359	1210	1453	ENSMUSG00000029512
765	736	695	1811	537	310	333	158	ENSMUSG00000043510
845	283	203	2015	424	125	337	52	ENSMUSG00000029521
4492	1350	455	2197	691	306	1602	105	ENSMUSG00000033209
5595	3118	2687	11812	3419	1256	1987	800	ENSMUSG00000050017
592	110	128	2103	545	32	230	24	ENSMUSG00000070576
6	0	0	0	0	0	0	0	ENSMUSG00000052848
4	2	1	17	2	2	5	0	ENSMUSG00000085271
9	0	4	43	7	2	4	0	ENSMUSG00000097767
27	5	2	68	22	0	9	0	ENSMUSG00000066975
19	4	4	12	3	2	3	2	ENSMUSG00000029343
3996	1129	937	10528	3329	378	1455	284	ENSMUSG00000029344
2742	2439	2487	5871	2311	615	1009	702	ENSMUSG00000029345
342	218	314	750	268	88	121	93	ENSMUSG00000029346
853	868	480	1061	396	369	309	151	ENSMUSG00000042328
20	4	2	41	2	0	6	0	ENSMUSG00000029348
10	4	4	20	10	4	4	6	ENSMUSG00000058153
0	0	0	3	0	0	0	0	ENSMUSG00000105735
76	3	6	200	103	0	26	2	ENSMUSG00000072720
3863	678	356	7206	2147	304	1428	166	ENSMUSG00000042249
0	0	0	0	0	0	0	0	ENSMUSG00000042240
83	18	26	194	54	6	27	13	ENSMUSG00000029352
6264	3846	1045	8452	2673	694	2442	304	ENSMUSG00000051339
0	0	0	1	0	0	0	0	ENSMUSG00000106191
0	2	0	3	0	0	0	0	ENSMUSG00000066964
642	528	213	1496	454	148	194	63	ENSMUSG00000042216
2	0	0	15	0	0	0	0	ENSMUSG00000104705
210	888	391	186	116	164	58	95	ENSMUSG00000063430
5350	566	460	8732	4164	69	1924	79	ENSMUSG00000042190
1	0	0	4	0	0	0	0	ENSMUSG00000042184
1382	908	707	3447	1039	270	514	190	ENSMUSG00000053334
3245	1816	1471	5975	2136	856	1249	555	ENSMUSG00000018974
5804	8215	10255	12909	3920	3066	2122	2837	ENSMUSG00000025825
2842	586	758	4397	2834	124	1098	103	ENSMUSG00000054675
3498	352	280	3854	2139	92	1418	112	ENSMUSG00000048163
8850	3231	2440	15162	5261	907	3206	504	ENSMUSG00000004530
4692	1331	711	6333	2719	425	1755	227	ENSMUSG00000042121
59	20581	20482	17	9	6229	14	4842	ENSMUSG00000042096
4	72	359	8	6	18	0	117	ENSMUSG00000042078
1749	1584	1168	3820	1228	521	666	372	ENSMUSG00000029592
178	123	106	356	126	57	37	25	ENSMUSG00000044339
350	162	113	327	101	63	127	38	ENSMUSG00000029591
9430	4931	2248	2439	798	972	3515	494	ENSMUSG00000042010
26	0	0	88	32	0	6	0	ENSMUSG00000042002
293	0	5	1145	287	0	91	1	ENSMUSG00000066952
12054	1352	2066	29013	10222	407	4583	543	ENSMUSG00000001098
8942	8372	5127	16332	6080	2140	3276	1327	ENSMUSG00000029577
1255	1660	1305	2298	771	633	490	421	ENSMUSG00000029575
1410	1079	867	2551	925	334	577	202	ENSMUSG00000041939
440	687	341	927	248	148	179	73	ENSMUSG00000041930
1255	9877	7493	3974	1118	2642	486	2000	ENSMUSG00000014158
10839	4463	3826	20012	6867	1170	4123	923	ENSMUSG00000011884
782	337	388	2613	796	160	273	174	ENSMUSG00000002486
7976	1628	1446	15204	4752	578	2823	453	ENSMUSG00000041890
16215	4498	4961	44865	14669	1545	6024	1540	ENSMUSG00000041870
424	273	436	1244	391	115	163	108	ENSMUSG00000072694
189	134	117	642	152	51	68	25	ENSMUSG00000092486
4	4	2	4	4	0	0	2	ENSMUSG00000082052
0	0	0	4	0	0	0	2	ENSMUSG00000029564
5327	868	1036	16512	4973	223	1828	198	ENSMUSG00000029561
342	279	402	1314	339	83	122	83	ENSMUSG00000041827
2233	2696	2493	5405	1852	844	825	699	ENSMUSG00000029559
0	1770	773	3	0	609	0	246	ENSMUSG00000029556
4	194	294	5	0	106	2	129	ENSMUSG00000086054
4167	1824	1050	6506	2309	605	1454	313	ENSMUSG00000029550
360	179	226	1090	256	67	115	58	ENSMUSG00000072692
4321	11126	9515	3807	1481	3311	1553	2516	ENSMUSG00000029545
7299	11286	11975	22316	6929	3948	2678	4572	ENSMUSG00000046562
22316	62537	45431	58760	15202	21566	8015	14199	ENSMUSG00000048578
99	28	38	534	161	15	38	38	ENSMUSG00000029544
2088	2863	3123	4098	1236	1078	697	891	ENSMUSG00000060152
22504	22520	18428	41771	15712	6126	8292	5400	ENSMUSG00000041740
2494	2357	2234	3770	1298	908	898	685	ENSMUSG00000041733
14874	3208	7416	37317	11206	1024	5187	2625	ENSMUSG00000009013
4230	2143	2099	7657	2532	814	1545	655	ENSMUSG00000029538
2028	1509	1219	4109	1301	482	762	404	ENSMUSG00000029536
2567	1478	1882	5876	1829	624	860	652	ENSMUSG00000029535
22637	35344	40680	25316	10341	12526	8336	11475	ENSMUSG00000041697
0	0	1	0	0	0	0	0	ENSMUSG00000086352
0	0	0	0	0	0	0	0	ENSMUSG00000106887
29	40	26	52	14	16	8	10	ENSMUSG00000054256
470	0	3	909	475	2	200	6	ENSMUSG00000029522
388	531	548	1318	350	332	173	212	ENSMUSG00000029524
11833	10318	7476	25029	9037	2375	4459	1910	ENSMUSG00000029528
60524	41066	52649	119856	41592	12320	22035	13515	ENSMUSG00000067274
4580	6128	3619	7518	2608	1766	1725	1247	ENSMUSG00000041638
38	59	87	125	38	22	11	22	ENSMUSG00000107121
6351	3321	4646	13394	5240	1126	2215	1587	ENSMUSG00000029518
1525	4135	1201	2366	851	1399	483	393	ENSMUSG00000041609
827	371	137	1198	278	166	325	47	ENSMUSG00000029516
4406	3011	5001	12843	4343	1094	1662	1338	ENSMUSG00000029513
2	2	2	0	2	0	2	0	ENSMUSG00000079278
8	0	6	33	2	2	0	2	ENSMUSG00000086655
558	0	0	1816	384	0	198	0	ENSMUSG00000043913
1	0	0	0	0	0	1	0	ENSMUSG00000086715
0	0	0	0	2	0	0	0	ENSMUSG00000106766
0	0	0	1	0	0	0	0	ENSMUSG00000086945
7103	600	995	21642	7034	175	2672	267	ENSMUSG00000041548
0	0	0	0	0	0	0	0	ENSMUSG00000086219
9	40	71	28	12	12	7	14	ENSMUSG00000063919
68	94	68	293	51	14	29	15	ENSMUSG00000107369
8391	8272	7059	16358	5066	3041	2991	2099	ENSMUSG00000066900
3	0	10	16	6	6	1	5	ENSMUSG00000086047
12013	2449	823	15366	5644	645	4378	229	ENSMUSG00000061288
6901	12444	13519	15870	4743	3900	2641	3708	ENSMUSG00000032959
3	0	3	16	8	2	1	2	ENSMUSG00000097163
2353	820	775	5836	1865	319	860	240	ENSMUSG00000066894
6044	9309	11050	12749	4818	2973	2241	3282	ENSMUSG00000029364
1091	703	458	2242	711	226	423	149	ENSMUSG00000029363
53	1234	126	12	10	273	34	44	ENSMUSG00000061578
60	291	84	22	20	66	22	6	ENSMUSG00000029361
3482	4228	1879	4677	1584	1460	1201	584	ENSMUSG00000032898
259	1698	1588	202	83	632	86	284	ENSMUSG00000029359
7418	4844	2517	13675	4589	1184	2910	610	ENSMUSG00000032867
10	2	4	109	23	2	2	6	ENSMUSG00000046607
72	118	98	182	85	53	28	33	ENSMUSG00000032850
1655	1232	1237	3214	978	500	565	488	ENSMUSG00000032840
4960	1759	547	5144	1373	645	1855	236	ENSMUSG00000018076
2	0	0	2	0	0	0	0	ENSMUSG00000107144
183	8	6	282	135	15	69	6	ENSMUSG00000087516
8548	453	643	12869	7307	179	3084	148	ENSMUSG00000018604
7	2	2	11	4	0	0	0	ENSMUSG00000086847
100	0	0	316	72	0	32	0	ENSMUSG00000107053
2066	2	0	3821	1701	0	786	0	ENSMUSG00000018263
1190	1081	407	1072	395	307	462	91	ENSMUSG00000029594
0	2	0	0	0	2	0	2	ENSMUSG00000029595
176	345	323	101	44	134	70	78	ENSMUSG00000029596
8	12	7	28	19	4	2	9	ENSMUSG00000029597
4387	6488	4391	7868	3211	1201	1686	965	ENSMUSG00000029598
1897	801	642	3846	1386	444	749	362	ENSMUSG00000032754
5330	13579	7560	7773	2712	3451	2012	1835	ENSMUSG00000032741
229	77	77	1042	229	47	100	31	ENSMUSG00000029601
451	510	372	981	308	220	164	116	ENSMUSG00000029600
3661	2941	3234	7606	2936	860	1397	879	ENSMUSG00000029599
127	0	5	608	156	0	91	4	ENSMUSG00000094282
104	259	309	69	28	85	70	83	ENSMUSG00000029602
1094	96	47	1156	444	40	425	34	ENSMUSG00000029603
1212	80	103	4753	1037	51	436	55	ENSMUSG00000032690
527	72	62	740	198	20	201	19	ENSMUSG00000032661
10	1	0	49	25	0	6	2	ENSMUSG00000066867
322	157	108	894	235	73	105	22	ENSMUSG00000001166
285	39	65	1165	300	37	104	33	ENSMUSG00000029605
0	2	6	12	0	2	0	0	ENSMUSG00000053765
3	0	0	11	5	2	0	0	ENSMUSG00000001168
137	29	44	534	123	23	57	12	ENSMUSG00000066861
756	142	225	2341	675	82	282	53	ENSMUSG00000052776
4	0	0	6	0	0	0	0	ENSMUSG00000032623
4	146	113	8	7	28	2	10	ENSMUSG00000029608
17870	8431	6756	33101	10789	2989	6579	2106	ENSMUSG00000043733
28367	15419	20767	58687	17809	5564	10233	6048	ENSMUSG00000029614
4827	1459	1902	14691	5161	594	1742	671	ENSMUSG00000042726
2038	1177	1527	4475	1357	452	766	644	ENSMUSG00000042719
5337	6557	6441	11166	3731	2125	1925	1739	ENSMUSG00000029616
870	4381	3285	2207	704	1296	277	802	ENSMUSG00000029452
2	25	14	31	6	26	8	16	ENSMUSG00000062438
55	112	93	288	79	72	29	37	ENSMUSG00000072647
70	74	76	213	75	59	40	50	ENSMUSG00000029454
67715	67633	67307	174120	53833	19327	25432	16077	ENSMUSG00000029455
1300	4000	2591	2688	789	1090	447	722	ENSMUSG00000042647
921	6132	4936	1350	413	1669	338	1167	ENSMUSG00000029456
5055	5481	5283	12055	4079	1877	1918	1543	ENSMUSG00000029458
3794	3219	1835	5554	1842	867	1418	506	ENSMUSG00000042605
5615	1533	2310	16129	5678	538	1992	780	ENSMUSG00000042594
4	1	5	13	7	4	0	6	ENSMUSG00000104872
15	6	8	24	9	6	7	2	ENSMUSG00000104719
840	1122	1244	2448	998	435	315	402	ENSMUSG00000044134
470	229	93	862	262	78	166	48	ENSMUSG00000042589
6	0	0	14	4	0	2	0	ENSMUSG00000013936
14	4	4	61	13	0	7	2	ENSMUSG00000043036
2521	1906	1911	6071	1990	812	857	751	ENSMUSG00000004455
1689	193	147	1289	620	23	569	41	ENSMUSG00000064267
861	551	456	2376	819	234	321	149	ENSMUSG00000038593
3630	2915	2327	7558	2212	1130	1254	832	ENSMUSG00000038582
102	95	109	284	71	95	46	44	ENSMUSG00000038569
4912	5407	6435	11696	3641	2289	1778	2278	ENSMUSG00000029462
897	305	318	2917	719	117	311	116	ENSMUSG00000029463
1572	735	807	4260	1365	374	621	328	ENSMUSG00000029464
12159	6032	6394	22223	8070	1811	4191	1685	ENSMUSG00000029465
2544	3075	3213	5449	1942	1002	876	905	ENSMUSG00000029466
25680	30299	20061	54173	17818	9307	9029	5344	ENSMUSG00000029467
3365	1141	605	9913	2038	504	1105	216	ENSMUSG00000029469
2211	162	147	3268	918	52	866	59	ENSMUSG00000029468
6308	3254	3127	19191	6112	987	2230	885	ENSMUSG00000029470
2916	1287	1013	4185	1580	469	1160	282	ENSMUSG00000029471
13468	11978	10324	28621	9120	3840	4900	3064	ENSMUSG00000029472
2216	1451	1237	4687	1374	660	771	375	ENSMUSG00000029474
1113	855	458	1753	593	274	362	149	ENSMUSG00000029475
130	10	9	267	87	15	50	6	ENSMUSG00000056735
2198	2147	1445	4150	1853	539	905	329	ENSMUSG00000049686
380	0	10	1270	311	0	165	6	ENSMUSG00000029477
1226	515	357	772	362	171	415	69	ENSMUSG00000054434
1202	649	324	1118	553	128	425	107	ENSMUSG00000029449
215	117	167	1045	317	230	107	215	ENSMUSG00000090086
49	27	58	355	60	105	23	118	ENSMUSG00000105881
3265	1849	1437	5040	1985	496	1110	528	ENSMUSG00000038384
2659	2073	1647	6733	1983	792	1014	578	ENSMUSG00000029440
118	9842	11899	0	70	2258	74	2431	ENSMUSG00000029445
3241	63	144	11409	2383	20	1201	27	ENSMUSG00000029442
4	0	0	1	2	0	1	0	ENSMUSG00000094664
1990	4368	2365	3647	1253	1540	762	810	ENSMUSG00000029438
4778	1662	1403	13450	3719	445	1713	443	ENSMUSG00000038342
3	0	0	23	9	0	0	2	ENSMUSG00000082532
1	2	0	2	0	0	0	0	ENSMUSG00000029437
407	0	1	1599	298	0	121	0	ENSMUSG00000063409
3195	2237	2482	8366	2671	839	1111	751	ENSMUSG00000029433
7	0	4	51	11	0	2	2	ENSMUSG00000029431
3736	4382	2772	6757	2383	1234	1374	824	ENSMUSG00000029434
16682	4916	2702	33488	9452	1883	5883	808	ENSMUSG00000049550
3654	2147	1815	8623	2686	1018	1369	687	ENSMUSG00000029427
6902	2186	3778	21683	6368	1618	2257	1829	ENSMUSG00000029422
370	64	93	276	90	26	115	46	ENSMUSG00000029414
558	52	56	1503	451	8	236	8	ENSMUSG00000045502
817	364	197	171	58	70	322	14	ENSMUSG00000049241
4903	2626	3205	10071	2822	1047	1510	935	ENSMUSG00000023106
144	80	83	611	123	95	46	46	ENSMUSG00000061882
6541	4270	4118	15091	4854	1618	2251	1373	ENSMUSG00000000915
757	583	1583	1579	560	206	276	503	ENSMUSG00000066278
879	776	519	1415	582	255	338	134	ENSMUSG00000029408
1570	1671	1840	3602	1294	668	592	567	ENSMUSG00000023707
2565	1506	2079	7621	2207	751	948	792	ENSMUSG00000029404
8469	1486	622	8610	2733	346	3127	180	ENSMUSG00000029406
0	12	0	14	3	3	0	0	ENSMUSG00000089842
1	0	2	1	2	0	1	0	ENSMUSG00000090220
1094	627	347	1923	538	254	458	113	ENSMUSG00000038126
1008	765	606	1400	471	319	362	168	ENSMUSG00000047635
727	308	428	1602	550	130	251	172	ENSMUSG00000029394
9902	5339	5291	20011	6082	2322	3490	2026	ENSMUSG00000038095
7488	4728	4276	11510	3770	1894	2594	1499	ENSMUSG00000049327
1675	1692	977	3155	1115	757	637	344	ENSMUSG00000029401
574	514	562	1341	376	188	196	162	ENSMUSG00000029402
3438	1309	940	7325	2336	382	1296	260	ENSMUSG00000029392
6857	2909	3419	14820	4749	1301	2354	1223	ENSMUSG00000029390
1550	544	468	3096	910	359	516	211	ENSMUSG00000029389
2472	1775	2027	5277	1641	639	813	686	ENSMUSG00000029388
1698	1081	913	3191	996	436	634	377	ENSMUSG00000029387
1760	1118	679	4883	1348	360	602	169	ENSMUSG00000029386
6001	5618	4205	10753	3430	1718	2074	1136	ENSMUSG00000038023
1565	11	13	7035	1559	8	549	7	ENSMUSG00000038011
1712	764	374	3830	1248	213	727	100	ENSMUSG00000037979
10802	5289	5641	26560	7905	2379	3929	2221	ENSMUSG00000079215
317	141	83	277	244	40	150	26	ENSMUSG00000037962
6047	4558	2361	7512	2869	1056	2455	577	ENSMUSG00000029478
6000	1305	900	11314	2737	340	2076	242	ENSMUSG00000037936
3672	4247	7151	10774	4083	1114	1266	1465	ENSMUSG00000008348
1765	1086	1327	3595	1233	253	651	421	ENSMUSG00000029480
1695	2106	1171	2155	709	688	599	383	ENSMUSG00000037905
5412	5065	1974	3662	1377	2704	2077	470	ENSMUSG00000029482
2	8	0	6	2	5	2	0	ENSMUSG00000070498
840	21	4	935	420	10	318	2	ENSMUSG00000034324
1	0	0	0	0	0	0	0	ENSMUSG00000087104
2908	1109	797	4427	1635	385	1039	315	ENSMUSG00000029416
94	361	69	355	84	118	28	22	ENSMUSG00000049971
484	4	0	203	44	0	163	0	ENSMUSG00000034310
0	0	0	0	0	0	0	0	ENSMUSG00000104980
25	4	0	42	14	4	17	0	ENSMUSG00000072591
16	2	2	32	38	0	10	2	ENSMUSG00000081683
0	0	0	0	0	0	0	0	ENSMUSG00000029423
10	8	0	10	15	0	4	0	ENSMUSG00000029420
2053	935	815	4666	1482	407	770	263	ENSMUSG00000029428
9185	4702	7264	19736	6126	1824	3307	2306	ENSMUSG00000029430
1391	94	45	1604	728	16	517	10	ENSMUSG00000044017
609	208	312	916	341	80	176	73	ENSMUSG00000060419
3367	1499	1308	7425	2592	882	1352	682	ENSMUSG00000029439
323	102	142	499	186	26	95	42	ENSMUSG00000029436
311	158	103	1285	214	107	110	25	ENSMUSG00000051034
3	0	4	0	3	0	2	0	ENSMUSG00000034219
4230	2512	3551	12858	3541	1032	1508	1212	ENSMUSG00000034211
6159	7619	6900	15930	4262	2643	2333	1819	ENSMUSG00000029432
1292	1028	998	2025	642	462	442	325	ENSMUSG00000029446
13717	10991	14949	26304	7896	4206	4819	4787	ENSMUSG00000029447
1289	989	658	2422	841	371	401	218	ENSMUSG00000025538
177	100	71	297	114	34	69	41	ENSMUSG00000025537
201	109	155	800	190	49	93	42	ENSMUSG00000034173
127	50	65	455	104	20	36	37	ENSMUSG00000095789
4550	2301	1607	9130	2656	908	1616	511	ENSMUSG00000066735
4787	2183	1830	9662	3345	708	1713	455	ENSMUSG00000025534
1577	11513	9676	3227	1119	3965	538	3001	ENSMUSG00000025533
1757	966	1032	4242	1190	410	621	339	ENSMUSG00000025532
3064	334	424	5584	2031	88	1139	79	ENSMUSG00000034118
892	330	223	1404	557	114	324	68	ENSMUSG00000034110
4306	1948	2347	9095	2987	678	1516	675	ENSMUSG00000025340
8640	4309	5014	21063	6967	1323	3269	1320	ENSMUSG00000053094
9339	3464	7472	28321	9043	1641	3385	2700	ENSMUSG00000025337
1490	1592	759	1451	473	421	495	248	ENSMUSG00000056310
1	0	0	0	0	3	4	2	ENSMUSG00000060371
147	31	8	142	44	0	50	0	ENSMUSG00000034040
611	955	447	549	229	290	246	272	ENSMUSG00000029673
2	0	0	0	0	0	0	0	ENSMUSG00000104987
3839	7500	2716	5236	1863	1912	1411	803	ENSMUSG00000015944
1213	1367	910	2381	743	453	424	284	ENSMUSG00000061979
8	10	20	57	13	4	5	5	ENSMUSG00000104195
1081	732	507	1651	608	203	352	133	ENSMUSG00000015942
2985	142	168	4966	1809	70	1104	75	ENSMUSG00000015950
15424	18419	10223	25606	7877	5440	5585	2524	ENSMUSG00000060261
1630	1198	547	1737	645	398	641	139	ENSMUSG00000023079
0	1	0	0	0	0	0	0	ENSMUSG00000077437
2366	2388	1357	3570	1343	769	870	406	ENSMUSG00000063146
86	12	14	475	125	2	37	3	ENSMUSG00000085957
0	0	0	0	0	0	0	0	ENSMUSG00000106323
3785	2391	2040	8571	2232	761	1303	528	ENSMUSG00000023104
376	43	57	519	230	24	140	36	ENSMUSG00000040751
35771	15317	17766	95903	30665	5605	13072	5230	ENSMUSG00000040731
2217	366	292	4003	1515	104	873	71	ENSMUSG00000029674
14573	344	390	39383	12104	126	5605	137	ENSMUSG00000029675
0	0	0	0	0	0	0	0	ENSMUSG00000040576
22	0	2	6	6	0	4	0	ENSMUSG00000008843
0	1	2	0	0	0	0	0	ENSMUSG00000107322
501	815	877	1481	551	335	196	275	ENSMUSG00000040557
606	2104	8432	1978	570	622	262	1928	ENSMUSG00000047501
7665	848	3321	22816	7310	228	2822	820	ENSMUSG00000070473
9	0	4	55	21	0	0	1	ENSMUSG00000054909
1	0	2	5	1	0	0	0	ENSMUSG00000084392
1383	1848	1869	3259	973	693	479	534	ENSMUSG00000040532
81	106	107	289	82	50	36	40	ENSMUSG00000085042
256	30	38	489	170	22	98	27	ENSMUSG00000007207
1868	1381	1280	4094	1334	620	670	527	ENSMUSG00000005378
840	1301	1038	1896	596	396	336	260	ENSMUSG00000061118
112	349	352	313	134	187	33	101	ENSMUSG00000043614
1151	2080	2672	267	165	1451	452	1432	ENSMUSG00000005373
2269	1424	1357	4840	1595	428	901	371	ENSMUSG00000005374
4541	2169	2504	8539	3080	719	1596	649	ENSMUSG00000029681
12515	5539	4081	21957	6908	2248	4557	1548	ENSMUSG00000002748
12	6	30	92	30	2	0	22	ENSMUSG00000049551
2	0	0	3	0	0	0	0	ENSMUSG00000106913
1	3	0	0	2	0	0	0	ENSMUSG00000040013
0	0	0	0	0	2	0	0	ENSMUSG00000053388
661	429	546	1380	478	236	267	219	ENSMUSG00000000916
2598	1582	2134	4403	1618	402	942	578	ENSMUSG00000053293
9454	1318	849	10076	3098	328	3345	240	ENSMUSG00000039959
81	8	18	96	30	0	19	0	ENSMUSG00000004814
2348	3399	2394	6152	1872	894	905	593	ENSMUSG00000039917
25190	27094	19565	56276	18781	8721	9499	4764	ENSMUSG00000005514
2344	4931	4898	3671	1223	1297	911	1088	ENSMUSG00000039886
232	25	13	740	191	3	62	11	ENSMUSG00000019178
18763	33085	36341	24269	9319	9610	6713	9555	ENSMUSG00000019179
6	0	0	9	1	0	2	0	ENSMUSG00000039860
7888	1238	4980	21060	7583	368	3050	1672	ENSMUSG00000004951
20649	7468	13589	25008	9654	2048	7665	4416	ENSMUSG00000051391
80	112	91	212	85	20	20	17	ENSMUSG00000029699
3	0	0	49	8	0	2	0	ENSMUSG00000004948
1767	701	600	3661	1378	267	650	174	ENSMUSG00000004947
11584	698	676	13144	7318	139	4472	142	ENSMUSG00000042985
22	10	12	33	4	4	9	6	ENSMUSG00000006143
1048	290	246	2154	1086	99	441	111	ENSMUSG00000004952
1336	1069	921	3154	994	290	469	202	ENSMUSG00000039771
1758	613	398	4925	1514	224	648	126	ENSMUSG00000029703
722	356	586	1463	608	110	269	184	ENSMUSG00000039754
1454	266	235	3059	1050	104	475	72	ENSMUSG00000039747
1657	705	959	3397	1103	272	647	368	ENSMUSG00000039737
1116	161	141	274	202	17	432	24	ENSMUSG00000005057
10699	18491	12563	11879	4338	4561	3760	3037	ENSMUSG00000029705
10	0	0	4	4	0	2	0	ENSMUSG00000005474
55	143	80	75	19	60	10	33	ENSMUSG00000004415
2193	1544	1206	5592	1444	469	776	303	ENSMUSG00000007987
360	358	185	952	257	156	137	42	ENSMUSG00000097908
7991	6432	7044	19062	6550	2609	2935	2196	ENSMUSG00000019054
2143	812	1086	2467	1484	220	746	239	ENSMUSG00000001739
2372	1735	1977	5579	1869	638	934	548	ENSMUSG00000059518
5957	2707	2423	11463	4675	809	2088	588	ENSMUSG00000004846
